payment_id,distributor_id,invoice_id,invoice_date,invoice_amount_inr,due_date,payment_date,amount_paid_inr,payment_status
PAY-000411,DIST-037,INV-000411,2025-01-03,161342,2025-02-17,2025-02-17,161342,paid
PAY-000971,DIST-087,INV-000971,2025-09-16,68707,2025-10-07,,0,overdue
PAY-000417,DIST-037,INV-000417,2025-06-26,235652,2025-08-10,2025-08-09,235652,paid
PAY-000394,DIST-036,INV-000394,2025-06-03,30457,2025-07-18,2025-07-16,30457,paid
PAY-000421,DIST-038,INV-000421,2025-02-01,207811,2025-02-16,2025-02-15,207811,paid
PAY-000845,DIST-076,INV-000845,2024-09-15,30976,2024-10-06,2024-10-28,30976,paid
PAY-000278,DIST-025,INV-000278,2024-11-28,193883,2024-12-19,2024-12-18,193883,paid
PAY-000138,DIST-012,INV-000138,2025-07-20,13430,2025-08-10,2025-08-07,13430,paid
PAY-000369,DIST-034,INV-000369,2024-12-21,102739,2025-01-05,2025-01-02,102739,paid
PAY-000546,DIST-048,INV-000546,2025-09-05,55783,2025-10-05,2025-10-03,55783,paid
PAY-001044,DIST-094,INV-001044,2024-11-16,262809,2024-12-16,,0,overdue
PAY-000137,DIST-012,INV-000137,2025-06-28,20918,2025-07-19,2025-07-18,20918,paid
PAY-000587,DIST-052,INV-000587,2024-09-02,245292,2024-09-23,2024-10-05,245292,paid
PAY-000807,DIST-072,INV-000807,2025-06-01,11688,2025-07-16,2025-08-07,11688,paid
PAY-001001,DIST-090,INV-001001,2024-12-03,68479,2024-12-18,2025-01-17,68479,paid
PAY-000839,DIST-075,INV-000839,2024-12-04,17354,2025-01-03,2025-01-22,17354,paid
PAY-000427,DIST-038,INV-000427,2025-08-07,267650,2025-08-22,2025-08-22,267650,paid
PAY-000154,DIST-014,INV-000154,2025-03-06,56690,2025-03-27,2025-03-24,75214,paid
PAY-000404,DIST-036,INV-000404,2026-04-28,29996,2026-06-12,2026-06-10,29996,paid
PAY-001028,DIST-092,INV-001028,2025-05-31,309304,2025-06-30,2025-08-10,309304,paid
PAY-000238,DIST-021,INV-000238,2025-07-10,28612,2025-07-25,2025-07-25,28612,paid
PAY-000083,DIST-007,INV-000083,2025-05-10,80603,2025-05-25,2025-05-25,80603,paid
PAY-001250,DIST-116,INV-001250,2024-06-06,216847,2024-06-27,2024-09-14,0,written_off
PAY-000210,DIST-019,INV-000210,2024-12-28,105735,2025-01-18,2025-01-15,105735,paid
PAY-000520,DIST-046,INV-000520,2025-04-05,45266,2025-04-20,2025-04-17,45266,paid
PAY-001116,DIST-100,INV-001116,2024-12-13,64624,2025-01-27,2025-03-09,64624,paid
PAY-000318,DIST-029,INV-000318,2024-08-10,103593,2024-09-24,2024-09-23,103593,paid
PAY-000522,DIST-046,INV-000522,2025-05-31,81514,2025-06-15,2025-06-14,81514,paid
PAY-000645,DIST-058,INV-000645,2025-05-09,52568,2025-05-24,2025-05-21,52568,paid
PAY-000399,DIST-036,INV-000399,2025-10-31,20487,2025-12-15,2025-12-13,20487,paid
PAY-000186,DIST-017,INV-000186,2025-05-11,123590,2025-06-25,2025-06-24,123590,paid
PAY-000872,DIST-078,INV-000872,2025-10-14,51491,2025-11-28,2026-01-02,51491,paid
PAY-000736,DIST-065,INV-000736,2025-12-01,57527,2025-12-31,2026-02-11,57527,paid
PAY-000147,DIST-013,INV-000147,2025-02-12,183800,2025-03-14,2025-03-14,183800,paid
PAY-001091,DIST-098,INV-001091,2025-05-17,107015,2025-06-07,2025-06-04,107015,paid
PAY-000253,DIST-023,INV-000253,2024-06-04,72426,2024-06-19,2024-06-19,72426,paid
PAY-000039,DIST-004,INV-000039,2025-02-24,195115,2025-03-26,2025-03-24,195115,paid
PAY-000343,DIST-031,INV-000343,2025-11-03,155689,2025-12-18,2025-12-17,155689,paid
PAY-001094,DIST-098,INV-001094,2025-08-05,203748,2025-08-26,2025-09-04,139626,partial
PAY-000463,DIST-041,INV-000463,2025-05-18,33560,2025-06-02,2025-06-02,33560,paid
PAY-000329,DIST-030,INV-000329,2024-12-18,162243,2025-01-08,2025-01-06,162243,paid
PAY-000731,DIST-065,INV-000731,2025-06-19,24426,2025-07-19,2025-08-08,24426,paid
PAY-001212,DIST-110,INV-001212,2025-01-30,30267,2025-03-16,,0,overdue
PAY-000683,DIST-061,INV-000683,2025-04-11,41441,2025-05-11,2025-05-08,41441,paid
PAY-000937,DIST-084,INV-000937,2024-12-26,59348,2025-02-09,2025-02-09,59348,paid
PAY-000742,DIST-065,INV-000742,2026-04-21,36997,2026-05-21,2026-05-20,36997,paid
PAY-000092,DIST-008,INV-000092,2025-01-09,303212,2025-01-24,2025-01-21,303212,paid
PAY-001182,DIST-106,INV-001182,2024-11-28,214831,2024-12-28,,0,overdue
PAY-000372,DIST-034,INV-000372,2025-03-25,238931,2025-04-09,2025-04-09,238931,paid
PAY-000855,DIST-076,INV-000855,2025-08-17,33650,2025-09-07,2025-09-18,33650,paid
PAY-000537,DIST-047,INV-000537,2026-01-28,13056,2026-02-12,2026-02-10,13056,paid
PAY-000120,DIST-011,INV-000120,2024-12-17,50778,2025-01-07,2025-01-04,50778,paid
PAY-000036,DIST-003,INV-000036,2025-11-09,59836,2025-11-24,2025-11-23,59836,paid
PAY-000658,DIST-059,INV-000658,2025-07-23,51600,2025-08-07,2025-08-06,51600,paid
PAY-001055,DIST-095,INV-001055,2025-05-19,185034,2025-06-18,2025-07-28,185034,paid
PAY-000558,DIST-049,INV-000558,2025-09-04,20324,2025-10-19,2025-10-17,20324,paid
PAY-000512,DIST-045,INV-000512,2024-01-18,22884,2024-02-17,2024-02-15,22884,paid
PAY-000366,DIST-033,INV-000366,2025-06-01,53577,2025-07-16,2025-07-16,53577,paid
PAY-001026,DIST-092,INV-001026,2025-03-29,198828,2025-04-28,2025-06-11,198828,paid
PAY-000425,DIST-038,INV-000425,2025-06-04,124125,2025-06-19,2025-06-19,124125,paid
PAY-000419,DIST-038,INV-000419,2024-11-27,206201,2024-12-12,2024-12-12,206201,paid
PAY-000583,DIST-051,INV-000583,2025-10-26,25442,2025-11-10,2025-11-09,25442,paid
PAY-000824,DIST-073,INV-000824,2025-12-06,255980,2026-01-20,2026-02-14,255980,paid
PAY-000685,DIST-061,INV-000685,2025-06-29,54109,2025-07-29,2025-08-09,54109,paid
PAY-000897,DIST-080,INV-000897,2025-09-03,291634,2025-09-24,2025-09-22,291634,paid
PAY-001034,DIST-093,INV-001034,2025-03-28,197951,2025-05-12,2025-05-22,157124,partial
PAY-000801,DIST-071,INV-000801,2024-10-26,26376,2024-11-16,2024-11-13,26376,paid
PAY-000618,DIST-055,INV-000618,2025-08-10,174636,2025-09-09,2025-10-16,174636,paid
PAY-000107,DIST-009,INV-000107,2025-06-24,97977,2025-07-24,2025-07-22,97977,paid
PAY-000119,DIST-010,INV-000119,2026-01-20,136681,2026-02-19,2026-02-18,136681,paid
PAY-000686,DIST-061,INV-000686,2025-08-02,27279,2025-09-01,2025-09-11,27279,paid
PAY-000099,DIST-008,INV-000099,2025-08-24,128221,2025-09-08,2025-09-05,128221,paid
PAY-000834,DIST-074,INV-000834,2025-06-27,66805,2025-07-27,2025-08-25,66805,paid
PAY-000298,DIST-027,INV-000298,2025-05-24,219113,2025-06-14,2025-06-14,219113,paid
PAY-000821,DIST-073,INV-000821,2025-08-19,126211,2025-10-03,2025-10-15,126211,paid
PAY-000241,DIST-021,INV-000241,2025-10-04,25708,2025-10-19,2025-10-18,25708,paid
PAY-000536,DIST-047,INV-000536,2025-12-20,32114,2026-01-04,2026-01-03,32114,paid
PAY-000441,DIST-039,INV-000441,2026-01-01,162356,2026-01-22,2026-01-21,162356,paid
PAY-001111,DIST-099,INV-001111,2025-03-27,42432,2025-05-11,2025-05-10,42432,paid
PAY-000552,DIST-049,INV-000552,2025-01-24,19711,2025-03-10,2025-03-07,19711,paid
PAY-000798,DIST-071,INV-000798,2024-07-19,51267,2024-08-09,2024-08-09,51267,paid
PAY-000667,DIST-059,INV-000667,2026-06-06,41723,2026-06-21,2026-06-18,41723,paid
PAY-000212,DIST-019,INV-000212,2025-02-11,133075,2025-03-04,2025-03-02,133075,paid
PAY-001081,DIST-097,INV-001081,2025-10-14,52388,2025-11-13,2025-12-25,52388,paid
PAY-001129,DIST-101,INV-001129,2025-03-28,153955,2025-04-27,,0,overdue
PAY-000294,DIST-026,INV-000294,2026-01-08,159074,2026-01-23,2026-01-22,159074,paid
PAY-000359,DIST-032,INV-000359,2025-09-01,272286,2025-10-01,2025-09-28,272286,paid
PAY-001251,DIST-116,INV-001251,2024-07-02,178442,2024-07-23,2024-10-31,0,written_off
PAY-000637,DIST-057,INV-000637,2025-02-16,43881,2025-03-18,2025-04-13,43881,paid
PAY-000195,DIST-017,INV-000195,2026-02-18,157055,2026-04-04,2026-04-03,157055,paid
PAY-000244,DIST-022,INV-000244,2025-05-17,73197,2025-06-07,2025-06-06,73197,paid
PAY-000548,DIST-048,INV-000548,2025-11-07,53111,2025-12-07,2025-12-07,53111,paid
PAY-000684,DIST-061,INV-000684,2025-05-15,67592,2025-06-14,2025-07-27,67592,paid
PAY-000899,DIST-080,INV-000899,2025-11-01,226516,2025-11-22,2025-11-19,226516,paid
PAY-000729,DIST-064,INV-000729,2026-02-05,221503,2026-02-26,2026-04-07,221503,paid
PAY-000977,DIST-087,INV-000977,2026-04-05,40580,2026-04-26,,0,overdue
PAY-000206,DIST-018,INV-000206,2025-07-26,223014,2025-08-10,2025-08-09,223014,paid
PAY-000620,DIST-055,INV-000620,2025-11-02,250878,2025-12-02,2026-01-03,250878,paid
PAY-000626,DIST-056,INV-000626,2024-07-13,172675,2024-07-28,2024-09-03,172675,paid
PAY-000975,DIST-087,INV-000975,2026-01-11,68384,2026-02-01,,0,overdue
PAY-001191,DIST-107,INV-001191,2025-07-19,256947,2025-08-18,2025-09-03,256947,paid
PAY-000308,DIST-028,INV-000308,2025-06-04,20134,2025-06-25,2025-06-23,20134,paid
PAY-001248,DIST-115,INV-001248,2025-10-04,35835,2025-11-03,,0,overdue
PAY-000140,DIST-012,INV-000140,2025-10-01,14494,2025-10-22,2025-10-19,14494,paid
PAY-000061,DIST-006,INV-000061,2024-09-10,69382,2024-10-10,2024-10-09,69382,paid
PAY-000992,DIST-089,INV-000992,2024-10-15,33303,2024-10-30,,0,overdue
PAY-000124,DIST-011,INV-000124,2025-04-06,49136,2025-04-27,2025-04-24,49136,paid
PAY-000538,DIST-047,INV-000538,2026-02-27,30808,2026-03-14,2026-03-11,30808,paid
PAY-001202,DIST-108,INV-001202,2025-09-05,37711,2025-10-20,2025-11-07,19560,partial
PAY-001171,DIST-105,INV-001171,2024-12-13,52227,2024-12-28,2025-01-24,52227,paid
PAY-000607,DIST-054,INV-000607,2025-08-16,53245,2025-09-06,2025-09-23,53245,paid
PAY-000449,DIST-040,INV-000449,2026-01-07,10319,2026-01-28,2026-01-25,10319,paid
PAY-TRAP-004,DIST-904,INV-TRAP-004,2025-08-09,50000,2025-09-08,2025-09-06,50000,paid
PAY-000460,DIST-041,INV-000460,2025-01-26,22785,2025-02-10,2025-02-09,22785,paid
PAY-000836,DIST-075,INV-000836,2024-09-07,23313,2024-10-07,2024-11-09,23313,paid
PAY-000998,DIST-089,INV-000998,2025-05-17,31826,2025-06-01,2025-06-17,31826,paid
PAY-001010,DIST-090,INV-001010,2025-10-18,69360,2025-11-02,2025-10-30,69360,paid
PAY-000984,DIST-088,INV-000984,2025-09-07,73204,2025-10-07,2025-10-17,31008,partial
PAY-001169,DIST-105,INV-001169,2024-10-11,46335,2024-10-26,2024-11-14,31447,partial
PAY-000025,DIST-003,INV-000025,2024-11-16,46352,2024-12-01,2024-11-30,46352,paid
PAY-001158,DIST-104,INV-001158,2025-02-19,98968,2025-03-21,2025-04-26,98968,paid
PAY-001038,DIST-093,INV-001038,2025-07-19,117955,2025-09-02,2025-09-30,117955,paid
PAY-001140,DIST-102,INV-001140,2025-08-08,84784,2025-09-07,,0,overdue
PAY-000234,DIST-021,INV-000234,2025-03-24,31649,2025-04-08,2025-04-08,31649,paid
PAY-000353,DIST-032,INV-000353,2025-02-15,332767,2025-03-17,2025-03-16,332767,paid
PAY-000018,DIST-002,INV-000018,2025-08-02,153179,2025-08-17,2025-08-16,153179,paid
PAY-000603,DIST-054,INV-000603,2025-03-26,174750,2025-04-16,2025-04-26,174750,paid
PAY-000600,DIST-053,INV-000600,2025-07-04,42266,2025-07-25,2025-09-02,42266,paid
PAY-000177,DIST-016,INV-000177,2025-02-28,28653,2025-03-21,2025-03-20,28653,paid
PAY-000792,DIST-070,INV-000792,2025-06-25,78203,2025-08-09,2025-09-15,78203,paid
PAY-001222,DIST-111,INV-001222,2025-03-20,60452,2025-05-04,,0,overdue
PAY-000911,DIST-081,INV-000911,2025-09-11,56551,2025-10-11,,0,overdue
PAY-000002,DIST-001,INV-000002,2024-12-14,95161,2025-01-04,2025-01-03,95161,paid
PAY-000423,DIST-038,INV-000423,2025-03-31,129730,2025-04-15,2025-04-13,129730,paid
PAY-000344,DIST-031,INV-000344,2025-12-04,85547,2026-01-18,2026-01-17,85547,paid
PAY-001264,DIST-118,INV-001264,2024-12-13,261052,2025-01-12,,0,overdue
PAY-000078,DIST-007,INV-000078,2024-12-05,64706,2024-12-20,2024-12-19,64706,paid
PAY-000504,DIST-045,INV-000504,2024-01-23,15647,2024-02-22,2024-02-20,15647,paid
PAY-000949,DIST-085,INV-000949,2025-01-14,21767,2025-02-28,2025-03-18,12387,partial
PAY-000164,DIST-015,INV-000164,2024-10-25,28535,2024-12-09,2024-12-08,28535,paid
PAY-000578,DIST-051,INV-000578,2025-05-25,20782,2025-06-09,2025-07-02,20782,paid
PAY-000697,DIST-062,INV-000697,2025-02-04,12320,2025-03-06,2025-04-20,12320,paid
PAY-000691,DIST-061,INV-000691,2026-01-27,22890,2026-02-26,2026-04-10,22890,paid
PAY-000817,DIST-072,INV-000817,2026-04-23,34256,2026-06-07,2026-06-06,34256,paid
PAY-000491,DIST-044,INV-000491,2025-06-07,18439,2025-06-22,2025-06-22,18439,paid
PAY-000941,DIST-084,INV-000941,2025-05-08,32112,2025-06-22,2025-07-04,19772,partial
PAY-000144,DIST-013,INV-000144,2024-11-23,169074,2024-12-23,2024-12-20,169074,paid
PAY-000891,DIST-079,INV-000891,2025-08-05,137539,2025-08-20,2025-09-18,137539,paid
PAY-001209,DIST-110,INV-001209,2024-10-25,18709,2024-12-09,2024-12-25,18709,paid
PAY-000967,DIST-087,INV-000967,2025-05-06,62075,2025-05-27,2025-05-27,62075,paid
PAY-001066,DIST-096,INV-001066,2025-02-20,54375,2025-04-06,2025-04-23,54375,paid
PAY-000311,DIST-028,INV-000311,2025-09-28,10817,2025-10-19,2025-10-16,10817,paid
PAY-000293,DIST-026,INV-000293,2025-11-26,51812,2025-12-11,2025-12-08,51812,paid
PAY-001259,DIST-117,INV-001259,2025-03-22,41263,2025-04-12,2025-07-18,0,written_off
PAY-000131,DIST-011,INV-000131,2025-10-20,39078,2025-11-10,2025-11-09,39078,paid
PAY-000173,DIST-015,INV-000173,2025-09-20,25939,2025-11-04,2025-11-03,25939,paid
PAY-001228,DIST-112,INV-001228,2025-01-23,34051,2025-02-07,2025-02-26,34051,paid
PAY-000612,DIST-054,INV-000612,2026-02-01,132250,2026-02-22,2026-02-20,132250,paid
PAY-000384,DIST-035,INV-000384,2024-11-08,154323,2024-12-23,2024-12-21,154323,paid
PAY-001049,DIST-095,INV-001049,2024-11-02,203997,2024-12-02,2024-12-01,203997,paid
PAY-000405,DIST-037,INV-000405,2024-07-20,175203,2024-09-03,2024-09-01,175203,paid
PAY-000597,DIST-053,INV-000597,2025-04-19,101253,2025-05-10,2025-05-07,101253,paid
PAY-000880,DIST-078,INV-000880,2026-06-02,34190,2026-07-17,2026-07-16,34190,paid
PAY-000989,DIST-088,INV-000989,2026-02-25,53708,2026-03-27,2026-03-26,53708,paid
PAY-000505,DIST-045,INV-000505,2024-05-07,31104,2024-06-06,2024-06-04,31104,paid
PAY-000550,DIST-049,INV-000550,2024-11-06,25973,2024-12-21,2024-12-19,25973,paid
PAY-001232,DIST-112,INV-001232,2025-06-07,13672,2025-06-22,2025-07-04,6241,partial
PAY-001003,DIST-090,INV-001003,2025-02-25,50629,2025-03-12,,0,overdue
PAY-000307,DIST-028,INV-000307,2025-04-23,21594,2025-05-14,2025-05-13,21594,paid
PAY-000593,DIST-053,INV-000593,2024-12-02,99467,2024-12-23,2024-12-21,99467,paid
PAY-000236,DIST-021,INV-000236,2025-05-24,20953,2025-06-08,2025-06-08,20953,paid
PAY-001059,DIST-095,INV-001059,2025-10-03,182141,2025-11-02,,0,overdue
PAY-000375,DIST-034,INV-000375,2025-07-01,105710,2025-07-16,2025-07-13,105710,paid
PAY-000528,DIST-046,INV-000528,2025-11-18,49379,2025-12-03,2025-12-01,49379,paid
PAY-000207,DIST-019,INV-000207,2024-09-20,126745,2024-10-11,2024-10-11,126745,paid
PAY-001192,DIST-107,INV-001192,2025-08-31,173770,2025-09-30,,0,overdue
PAY-000756,DIST-067,INV-000756,2024-07-11,343020,2024-08-01,2024-08-01,343020,paid
PAY-000614,DIST-055,INV-000614,2025-05-03,144502,2025-06-02,2025-07-07,144502,paid
PAY-000368,DIST-033,INV-000368,2025-08-06,50158,2025-09-20,2025-09-20,50158,paid
PAY-000820,DIST-073,INV-000820,2025-07-25,174907,2025-09-08,2025-10-09,174907,paid
PAY-001063,DIST-096,INV-001063,2024-11-08,65380,2024-12-23,2025-01-10,65380,paid
PAY-000263,DIST-024,INV-000263,2025-01-30,142856,2025-02-20,2025-02-19,142856,paid
PAY-001207,DIST-109,INV-001207,2025-09-08,190123,2025-09-23,,0,overdue
PAY-000718,DIST-064,INV-000718,2025-04-05,234809,2025-04-26,2025-04-26,234809,paid
PAY-000316,DIST-028,INV-000316,2026-04-03,25478,2026-04-24,2026-04-22,25478,paid
PAY-000487,DIST-044,INV-000487,2025-01-12,20298,2025-01-27,2025-01-27,20298,paid
PAY-000345,DIST-031,INV-000345,2026-01-12,165516,2026-02-26,2026-02-24,165516,paid
PAY-000513,DIST-045,INV-000513,2024-03-12,25696,2024-04-11,2024-04-09,25696,paid
PAY-000015,DIST-002,INV-000015,2025-05-20,140441,2025-06-04,2025-06-03,140441,paid
PAY-001007,DIST-090,INV-001007,2025-07-20,29753,2025-08-04,2025-08-10,13604,partial
