distributor_id,distributor_name,region,city,channel,credit_limit_inr,credit_terms_days,onboarded_date
DIST-038,New Traders,South,Chennai,institution,1000000,15,2025-03-12
DIST-039,Star Traders,North,Chandigarh,general_trade,750000,21,2021-04-27
DIST-040,Sri Suppliers,South,Chennai,institution,100000,21,2023-04-07
DIST-041,Global Suppliers,South,Hyderabad,institution,100000,15,2023-05-09
DIST-042,Shree Agencies,East,Bhubaneswar,modern_trade,1000000,30,2022-05-04
DIST-043,Sri Traders,South,Hyderabad,institution,300000,45,2022-10-10
DIST-044,Jai Suppliers,West,Ahmedabad,institution,100000,15,2024-01-07
DIST-045,Shree Enterprises,East,Kolkata,general_trade,100000,21,2023-01-27
DIST-046,Star Distributors,West,Ahmedabad,institution,300000,15,2024-09-29
DIST-047,Star Enterprises,North,Delhi,general_trade,100000,15,2025-03-01
DIST-048,Shree Suppliers,East,Bhubaneswar,institution,200000,30,2022-02-21
DIST-049,Ravi Traders,West,Pune,modern_trade,100000,45,2022-07-21
DIST-050,Prime Suppliers,East,Kolkata,institution,300000,21,2025-02-27
DIST-051,Om Suppliers,West,Ahmedabad,modern_trade,100000,15,2024-11-16
DIST-052,Om Traders,North,Lucknow,institution,750000,21,2023-05-31
DIST-053,Jai Brothers,East,Bhubaneswar,modern_trade,300000,21,2024-10-28
DIST-054,Om Enterprises,North,Lucknow,institution,500000,21,2022-04-30
DIST-055,Modern Brothers,West,Mumbai,modern_trade,1000000,30,2025-05-22
DIST-056,Ravi Agencies,South,Bengaluru,modern_trade,1000000,15,2023-02-23
DIST-057,Jai Traders,South,Chennai,general_trade,300000,30,2022-04-12
DIST-058,Shree Distributors,South,Bengaluru,general_trade,300000,15,2025-05-03
DIST-059,Shree Enterprises,West,Ahmedabad,institution,300000,15,2021-08-25
DIST-060,New Agencies,East,Kolkata,modern_trade,750000,45,2022-12-09
DIST-061,Modern Traders,North,Lucknow,institution,200000,30,2021-04-01
DIST-062,New Brothers,South,Bengaluru,general_trade,100000,30,2024-06-30
DIST-063,Modern Distributors,North,Chandigarh,general_trade,750000,30,2024-09-27
DIST-064,Modern Brothers,West,Ahmedabad,general_trade,750000,21,2022-01-28
DIST-065,Star Traders,West,Ahmedabad,institution,200000,30,2023-04-12
DIST-066,Prime Agencies,East,Bhubaneswar,modern_trade,500000,30,2023-08-11
DIST-067,Sri Distributors,South,Hyderabad,general_trade,1000000,21,2024-09-11
DIST-068,Jai Enterprises,East,Kolkata,modern_trade,1000000,30,2022-04-06
DIST-069,Modern Brothers,North,Delhi,modern_trade,500000,15,2023-07-22
DIST-070,Jai Enterprises,South,Hyderabad,institution,500000,45,2023-03-30
DIST-071,Star Agencies,North,Delhi,general_trade,200000,21,2024-11-26
DIST-072,Prime Brothers,North,Chandigarh,modern_trade,100000,45,2021-10-01
DIST-073,Prime Enterprises,East,Bhubaneswar,institution,1000000,45,2024-01-28
DIST-074,Star Agencies,West,Pune,general_trade,200000,30,2025-04-18
DIST-075,Shree Distributors,South,Bengaluru,general_trade,100000,30,2022-04-26
DIST-076,Modern Brothers,East,Patna,modern_trade,200000,21,2022-04-19
DIST-077,New Suppliers,South,Hyderabad,modern_trade,100000,45,2023-04-15
DIST-078,Global Brothers,West,Pune,modern_trade,200000,45,2023-03-09
DIST-079,Shree Agencies,North,Chandigarh,general_trade,500000,15,2022-12-22
DIST-080,Jai Distributors,West,Ahmedabad,institution,1000000,21,2023-09-27
DIST-081,Modern Brothers,West,Pune,modern_trade,500000,30,2024-10-01
DIST-082,Global Suppliers,South,Bengaluru,modern_trade,750000,15,2023-03-18
DIST-083,Om Traders,North,Delhi,institution,500000,21,2023-08-04
DIST-084,New Agencies,East,Bhubaneswar,general_trade,200000,45,2022-11-01
DIST-085,Star Traders,East,Bhubaneswar,general_trade,100000,45,2021-02-09
DIST-086,Ravi Enterprises,East,Kolkata,institution,100000,15,2025-03-25
DIST-087,Prime Brothers,South,Chennai,institution,200000,21,2021-09-16
DIST-088,New Enterprises,North,Chandigarh,modern_trade,500000,30,2025-04-20
DIST-089,Global Brothers,North,Delhi,general_trade,100000,15,2022-10-01
DIST-090,Jai Traders,West,Pune,institution,200000,15,2024-04-27
DIST-091,Star Agencies,East,Patna,institution,100000,15,2022-12-13
DIST-092,Modern Agencies,East,Kolkata,institution,1000000,30,2021-01-26
DIST-093,Om Agencies,North,Lucknow,general_trade,1000000,45,2024-12-19
DIST-094,Star Agencies,South,Hyderabad,institution,1000000,30,2024-06-15
DIST-095,Jai Traders,West,Pune,institution,750000,30,2022-10-23
DIST-096,Ravi Agencies,East,Bhubaneswar,modern_trade,500000,45,2022-11-20
DIST-097,New Distributors,East,Kolkata,general_trade,200000,30,2022-06-14
DIST-098,Jai Brothers,East,Patna,modern_trade,750000,21,2021-06-25
DIST-099,Prime Agencies,West,Pune,institution,200000,45,2024-08-15
DIST-100,Jai Distributors,North,Delhi,general_trade,200000,45,2024-11-17
DIST-101,Star Distributors,East,Bhubaneswar,institution,750000,30,2023-05-22
DIST-102,Jai Traders,East,Patna,general_trade,300000,30,2022-05-30
DIST-103,Jai Brothers,South,Bengaluru,modern_trade,1000000,21,2022-01-28
DIST-104,Jai Distributors,West,Pune,institution,750000,30,2021-07-25
DIST-105,Star Enterprises,South,Bengaluru,modern_trade,300000,15,2024-12-21
DIST-106,Om Brothers,East,Kolkata,modern_trade,750000,30,2024-11-29
DIST-107,Prime Agencies,West,Mumbai,modern_trade,750000,30,2023-08-20
DIST-108,Sri Agencies,East,Kolkata,modern_trade,300000,45,2021-08-22
DIST-109,Om Suppliers,West,Mumbai,institution,1000000,15,2021-11-07
DIST-110,Global Suppliers,East,Kolkata,modern_trade,100000,45,2024-05-26
DIST-111,Global Agencies,South,Hyderabad,general_trade,500000,45,2022-09-01
DIST-112,Jai Brothers,East,Patna,institution,100000,15,2025-04-12
DIST-113,Om Suppliers,South,Bengaluru,institution,100000,21,2022-05-07
DIST-114,Global Agencies,North,Delhi,modern_trade,500000,45,2024-11-12
DIST-115,Prime Traders,East,Kolkata,modern_trade,300000,30,2024-12-10
DIST-116,Sri Suppliers,South,Bengaluru,institution,750000,21,2023-05-21
DIST-117,Ravi Enterprises,South,Hyderabad,modern_trade,300000,21,2021-05-27
DIST-118,Sri Agencies,East,Patna,institution,750000,30,2023-06-19
DIST-119,Sri Suppliers,East,Patna,general_trade,300000,45,2023-06-16
DIST-120,Sri Enterprises,North,Lucknow,institution,300000,30,2021-02-22
