order_id,distributor_id,order_date,order_value_inr,order_status
ORD-00179,DIST-012,2025-05-14,50000,delivered
ORD-00180,DIST-013,2026-01-01,25000,delivered
ORD-00181,DIST-013,2024-10-24,25000,delivered
ORD-00182,DIST-013,2024-09-02,50000,delivered
ORD-00183,DIST-013,2025-06-21,75000,delivered
ORD-00184,DIST-013,2024-11-09,200000,delivered
ORD-00185,DIST-013,2025-04-29,150000,delivered
ORD-00186,DIST-013,2026-02-01,25000,delivered
ORD-00187,DIST-013,2024-11-07,150000,delivered
ORD-00188,DIST-014,2026-04-22,100000,delivered
ORD-00189,DIST-014,2026-04-09,150000,delivered
ORD-00190,DIST-014,2025-08-27,50000,delivered
ORD-00191,DIST-014,2025-11-07,100000,delivered
ORD-00192,DIST-014,2024-09-22,200000,delivered
ORD-00193,DIST-015,2025-10-12,75000,delivered
ORD-00194,DIST-015,2024-07-17,150000,delivered
ORD-00195,DIST-015,2024-07-27,75000,delivered
ORD-00196,DIST-015,2025-01-03,300000,delivered
ORD-00197,DIST-015,2025-02-17,25000,delivered
ORD-00198,DIST-015,2024-06-08,100000,delivered
ORD-00199,DIST-015,2024-11-27,150000,delivered
ORD-00200,DIST-015,2026-05-22,150000,delivered
ORD-00201,DIST-015,2026-04-16,25000,cancelled
ORD-00202,DIST-015,2025-07-12,25000,cancelled
ORD-00203,DIST-015,2025-08-21,25000,delivered
ORD-00204,DIST-015,2025-04-17,150000,delivered
ORD-00205,DIST-015,2025-07-20,100000,delivered
ORD-00206,DIST-015,2025-03-24,25000,delivered
ORD-00207,DIST-015,2025-04-29,150000,delivered
ORD-00208,DIST-015,2025-09-15,75000,cancelled
ORD-00209,DIST-015,2024-08-30,25000,delivered
ORD-00210,DIST-015,2025-02-05,100000,delivered
ORD-00211,DIST-015,2025-11-19,300000,delivered
ORD-00212,DIST-015,2025-04-14,50000,delivered
ORD-00213,DIST-015,2025-05-08,25000,delivered
ORD-00214,DIST-015,2025-11-05,150000,delivered
ORD-00215,DIST-016,2024-12-16,75000,pending
ORD-00216,DIST-016,2025-05-26,300000,delivered
ORD-00217,DIST-016,2026-03-23,50000,cancelled
ORD-00218,DIST-016,2024-09-14,50000,delivered
ORD-00219,DIST-016,2024-11-25,300000,delivered
ORD-00220,DIST-016,2026-04-03,300000,delivered
ORD-00221,DIST-016,2026-03-06,300000,delivered
ORD-00222,DIST-016,2025-12-30,100000,delivered
ORD-00223,DIST-016,2026-04-29,150000,pending
ORD-00224,DIST-016,2026-03-21,150000,delivered
ORD-00225,DIST-016,2025-04-27,200000,cancelled
ORD-00226,DIST-016,2025-04-20,25000,delivered
ORD-00227,DIST-016,2025-09-24,75000,delivered
ORD-00228,DIST-016,2025-03-09,75000,delivered
ORD-00229,DIST-016,2025-11-02,100000,delivered
ORD-00230,DIST-016,2025-09-06,75000,delivered
ORD-00231,DIST-016,2025-03-21,300000,delivered
ORD-00232,DIST-016,2024-09-01,150000,delivered
ORD-00233,DIST-016,2025-06-29,150000,delivered
ORD-00234,DIST-016,2024-07-13,300000,delivered
ORD-00235,DIST-017,2026-03-30,150000,delivered
ORD-00236,DIST-017,2025-10-01,25000,delivered
ORD-00237,DIST-017,2025-09-05,300000,delivered
ORD-00238,DIST-017,2025-05-18,25000,pending
ORD-00239,DIST-017,2025-10-30,25000,delivered
ORD-00240,DIST-017,2025-02-09,100000,delivered
ORD-00241,DIST-017,2025-11-19,50000,delivered
ORD-00242,DIST-017,2025-06-08,75000,delivered
ORD-00243,DIST-017,2025-07-02,75000,delivered
ORD-00244,DIST-017,2026-04-27,300000,delivered
ORD-00245,DIST-017,2026-03-09,25000,delivered
ORD-00246,DIST-017,2025-05-04,200000,delivered
ORD-00247,DIST-017,2025-07-01,200000,delivered
ORD-00248,DIST-017,2026-04-04,150000,pending
ORD-00249,DIST-017,2024-11-01,150000,delivered
ORD-00250,DIST-017,2026-04-11,75000,delivered
ORD-00251,DIST-017,2025-04-14,200000,pending
ORD-00252,DIST-017,2026-04-10,150000,delivered
ORD-00253,DIST-017,2026-05-27,75000,pending
ORD-00254,DIST-017,2025-12-25,300000,delivered
ORD-00255,DIST-017,2025-05-03,200000,cancelled
ORD-00256,DIST-017,2026-05-21,200000,cancelled
ORD-00257,DIST-018,2025-11-22,200000,delivered
ORD-00258,DIST-018,2025-08-08,25000,delivered
ORD-00259,DIST-018,2025-06-07,50000,delivered
ORD-00260,DIST-018,2025-05-16,100000,pending
ORD-00261,DIST-018,2024-12-14,50000,delivered
ORD-00262,DIST-018,2024-11-06,300000,delivered
ORD-00263,DIST-018,2024-09-12,150000,delivered
ORD-00264,DIST-018,2025-11-22,75000,delivered
ORD-00265,DIST-018,2026-02-23,100000,delivered
ORD-00266,DIST-018,2024-11-05,300000,delivered
ORD-00267,DIST-018,2026-05-11,300000,delivered
ORD-00268,DIST-018,2024-11-17,25000,delivered
ORD-00269,DIST-018,2025-07-26,200000,delivered
ORD-00270,DIST-018,2025-01-30,150000,pending
ORD-00271,DIST-018,2025-03-19,300000,delivered
ORD-00272,DIST-018,2025-09-03,50000,delivered
ORD-00273,DIST-018,2025-04-13,300000,pending
ORD-00274,DIST-018,2025-09-24,50000,pending
ORD-00275,DIST-018,2025-06-12,150000,delivered
ORD-00276,DIST-018,2025-08-26,75000,delivered
ORD-00277,DIST-018,2025-06-27,100000,delivered
ORD-00278,DIST-018,2024-11-13,300000,cancelled
ORD-00279,DIST-018,2026-02-10,75000,delivered
ORD-00280,DIST-018,2024-07-24,300000,delivered
ORD-00281,DIST-018,2025-06-16,25000,delivered
ORD-00282,DIST-019,2024-10-06,300000,delivered
ORD-00283,DIST-019,2024-11-12,150000,delivered
ORD-00284,DIST-019,2024-10-29,25000,cancelled
ORD-00285,DIST-019,2025-01-14,75000,cancelled
ORD-00286,DIST-019,2024-06-28,100000,delivered
ORD-00287,DIST-019,2025-10-28,100000,delivered
ORD-00288,DIST-019,2024-08-23,25000,delivered
ORD-00289,DIST-019,2025-04-23,300000,pending
ORD-00290,DIST-019,2026-06-02,300000,delivered
ORD-00291,DIST-019,2024-10-28,75000,delivered
ORD-00292,DIST-019,2025-09-27,50000,delivered
ORD-00293,DIST-019,2026-05-24,150000,delivered
ORD-00294,DIST-019,2024-06-06,25000,pending
ORD-00295,DIST-019,2025-02-18,50000,delivered
ORD-00296,DIST-019,2025-12-14,150000,pending
ORD-00297,DIST-019,2025-11-23,300000,delivered
ORD-00298,DIST-019,2025-03-23,25000,delivered
ORD-00299,DIST-019,2024-07-19,200000,delivered
ORD-00300,DIST-019,2026-02-28,25000,delivered
ORD-00301,DIST-019,2025-10-25,25000,delivered
ORD-00302,DIST-020,2025-11-10,200000,delivered
ORD-00303,DIST-020,2024-10-26,25000,delivered
ORD-00304,DIST-020,2026-02-20,150000,delivered
ORD-00305,DIST-020,2025-08-01,200000,delivered
ORD-00306,DIST-020,2024-08-27,75000,delivered
ORD-00307,DIST-020,2024-08-09,150000,pending
ORD-00308,DIST-020,2025-11-02,150000,delivered
ORD-00309,DIST-020,2025-12-20,300000,delivered
ORD-00310,DIST-020,2025-09-25,100000,delivered
ORD-00311,DIST-020,2025-06-18,25000,delivered
ORD-00312,DIST-020,2025-06-01,75000,delivered
ORD-00313,DIST-020,2025-02-02,200000,delivered
ORD-00314,DIST-020,2024-09-15,200000,delivered
ORD-00315,DIST-020,2025-05-07,75000,delivered
ORD-00316,DIST-020,2025-12-12,200000,delivered
ORD-00317,DIST-020,2024-11-27,200000,cancelled
ORD-00318,DIST-020,2025-09-19,100000,pending
ORD-00319,DIST-020,2026-03-09,50000,delivered
ORD-00320,DIST-020,2024-08-04,100000,delivered
ORD-00321,DIST-020,2024-07-08,25000,delivered
ORD-00322,DIST-020,2024-12-22,75000,cancelled
ORD-00323,DIST-020,2025-04-14,300000,delivered
ORD-00324,DIST-020,2025-12-09,25000,delivered
ORD-00325,DIST-020,2026-03-25,75000,delivered
ORD-00326,DIST-021,2026-04-03,25000,delivered
ORD-00327,DIST-021,2025-06-12,100000,delivered
ORD-00328,DIST-021,2025-08-25,100000,cancelled
ORD-00329,DIST-021,2025-05-14,100000,pending
ORD-00330,DIST-021,2026-05-10,300000,delivered
ORD-00331,DIST-022,2025-03-01,200000,cancelled
ORD-00332,DIST-022,2025-08-09,150000,delivered
ORD-00333,DIST-022,2024-12-02,75000,delivered
ORD-00334,DIST-022,2024-09-14,200000,delivered
ORD-00335,DIST-022,2025-03-30,150000,delivered
ORD-00336,DIST-022,2026-06-05,200000,delivered
ORD-00337,DIST-022,2025-08-29,25000,delivered
ORD-00338,DIST-022,2025-05-28,100000,delivered
ORD-00339,DIST-022,2025-03-09,300000,delivered
ORD-00340,DIST-022,2024-07-29,200000,delivered
ORD-00341,DIST-022,2025-07-21,300000,delivered
ORD-00342,DIST-022,2026-04-27,25000,delivered
ORD-00343,DIST-022,2024-10-25,200000,cancelled
ORD-00344,DIST-022,2025-08-23,25000,delivered
ORD-00345,DIST-022,2025-01-28,75000,delivered
ORD-00346,DIST-022,2025-06-06,150000,delivered
ORD-00347,DIST-022,2024-07-04,200000,delivered
ORD-00348,DIST-022,2025-09-04,75000,pending
ORD-00349,DIST-022,2025-08-29,150000,delivered
ORD-00350,DIST-022,2024-10-19,100000,delivered
ORD-00351,DIST-023,2026-03-28,25000,delivered
ORD-00352,DIST-023,2024-06-27,100000,delivered
ORD-00353,DIST-023,2025-11-13,150000,delivered
ORD-00354,DIST-023,2024-09-29,75000,delivered
ORD-00355,DIST-023,2026-05-22,150000,delivered
ORD-00356,DIST-023,2025-03-20,100000,delivered
ORD-00357,DIST-023,2024-12-22,300000,delivered
ORD-00358,DIST-023,2024-08-15,200000,delivered
ORD-00359,DIST-023,2025-08-30,300000,pending
ORD-00360,DIST-023,2026-04-30,75000,pending
ORD-00361,DIST-023,2026-04-15,25000,delivered
ORD-00362,DIST-023,2025-12-16,75000,delivered
ORD-00363,DIST-023,2024-11-09,200000,delivered
ORD-00364,DIST-023,2026-03-16,75000,delivered
ORD-00365,DIST-024,2025-01-16,50000,delivered
ORD-00366,DIST-024,2024-10-21,100000,delivered
ORD-00367,DIST-024,2024-06-27,150000,delivered
ORD-00368,DIST-024,2025-06-13,150000,delivered
ORD-00369,DIST-024,2024-10-11,25000,delivered
ORD-00370,DIST-024,2024-08-07,200000,delivered
ORD-00371,DIST-024,2026-06-07,100000,delivered
ORD-00372,DIST-024,2025-07-25,25000,cancelled
ORD-00373,DIST-024,2024-10-07,200000,pending
ORD-00374,DIST-024,2024-08-15,200000,delivered
ORD-00375,DIST-024,2025-11-12,300000,delivered
ORD-00376,DIST-024,2025-12-17,50000,delivered
ORD-00377,DIST-024,2024-10-11,300000,delivered
ORD-00378,DIST-024,2024-07-27,150000,cancelled
ORD-00379,DIST-024,2024-11-04,50000,delivered
ORD-00380,DIST-024,2025-04-27,50000,pending
ORD-00381,DIST-024,2025-05-21,150000,pending
ORD-00382,DIST-024,2025-03-18,75000,cancelled
ORD-00383,DIST-024,2024-12-19,150000,delivered
ORD-00384,DIST-024,2025-03-09,75000,delivered
ORD-00385,DIST-025,2025-11-29,200000,delivered
ORD-00386,DIST-025,2024-11-20,150000,delivered
ORD-00387,DIST-025,2024-11-05,150000,delivered
ORD-00388,DIST-025,2026-06-08,75000,pending
ORD-00389,DIST-025,2025-12-30,300000,delivered
ORD-00390,DIST-025,2024-06-30,200000,delivered
ORD-00391,DIST-025,2026-01-12,50000,delivered
ORD-00392,DIST-025,2026-01-07,200000,delivered
ORD-00393,DIST-025,2024-07-02,200000,delivered
ORD-00394,DIST-025,2025-12-11,75000,delivered
ORD-00395,DIST-025,2025-10-08,300000,delivered
ORD-00396,DIST-025,2026-05-03,100000,delivered
ORD-00397,DIST-025,2024-08-14,50000,delivered
ORD-00398,DIST-025,2025-08-25,100000,delivered
ORD-00399,DIST-025,2024-12-26,50000,delivered
ORD-00400,DIST-025,2025-04-17,75000,cancelled
ORD-00401,DIST-025,2025-05-20,50000,pending
ORD-00402,DIST-025,2025-06-15,25000,delivered
ORD-00403,DIST-025,2025-04-23,25000,delivered
ORD-00404,DIST-025,2025-03-01,50000,delivered
ORD-00405,DIST-025,2024-09-08,100000,delivered
ORD-00406,DIST-025,2026-02-21,300000,delivered
ORD-00407,DIST-025,2024-11-11,150000,cancelled
ORD-00408,DIST-026,2024-12-12,100000,delivered
ORD-00409,DIST-026,2025-11-10,75000,delivered
ORD-00410,DIST-026,2025-10-23,100000,delivered
ORD-00411,DIST-026,2025-10-31,50000,delivered
ORD-00412,DIST-026,2025-01-07,25000,delivered
ORD-00413,DIST-026,2024-07-22,150000,delivered
ORD-00414,DIST-026,2026-04-01,75000,delivered
ORD-00415,DIST-026,2025-12-02,25000,delivered
ORD-00416,DIST-026,2025-08-16,75000,delivered
ORD-00417,DIST-026,2025-06-10,75000,delivered
ORD-00418,DIST-026,2024-07-17,150000,delivered
ORD-00419,DIST-026,2025-12-28,150000,delivered
ORD-00420,DIST-026,2025-03-23,150000,delivered
ORD-00421,DIST-026,2025-09-05,75000,delivered
ORD-00422,DIST-027,2026-04-28,50000,delivered
ORD-00423,DIST-027,2024-09-08,300000,delivered
ORD-00424,DIST-027,2025-05-14,75000,delivered
ORD-00425,DIST-027,2024-10-26,150000,delivered
ORD-00426,DIST-027,2025-07-17,25000,delivered
ORD-00427,DIST-027,2024-07-10,75000,delivered
ORD-00428,DIST-027,2025-09-29,50000,delivered
ORD-00429,DIST-027,2026-02-11,50000,cancelled
ORD-00430,DIST-027,2025-05-02,75000,pending
ORD-00431,DIST-027,2024-11-14,150000,delivered
ORD-00432,DIST-027,2025-04-03,150000,delivered
ORD-00433,DIST-027,2025-11-04,200000,delivered
ORD-00434,DIST-027,2025-12-29,300000,delivered
ORD-00435,DIST-027,2024-06-18,200000,delivered
ORD-00436,DIST-027,2024-09-21,150000,pending
ORD-00437,DIST-027,2025-04-12,200000,delivered
ORD-00438,DIST-027,2026-05-06,150000,delivered
ORD-00439,DIST-027,2025-09-29,200000,delivered
ORD-00440,DIST-027,2026-01-14,200000,delivered
ORD-00441,DIST-027,2024-07-23,50000,delivered
ORD-00442,DIST-027,2025-11-19,150000,delivered
ORD-00443,DIST-027,2025-06-25,200000,delivered
ORD-00444,DIST-027,2025-02-04,200000,delivered
ORD-00445,DIST-028,2024-12-13,75000,delivered
ORD-00446,DIST-028,2025-08-03,200000,delivered
ORD-00447,DIST-028,2024-12-26,300000,delivered
ORD-00448,DIST-028,2026-02-17,300000,pending
ORD-00449,DIST-028,2024-08-03,150000,delivered
ORD-00450,DIST-028,2024-12-30,200000,delivered
ORD-00451,DIST-028,2025-10-03,75000,delivered
ORD-00452,DIST-029,2025-09-14,75000,pending
ORD-00453,DIST-029,2025-12-12,300000,delivered
ORD-00454,DIST-029,2026-06-09,300000,delivered
ORD-00455,DIST-029,2026-05-11,100000,delivered
ORD-00456,DIST-029,2024-12-14,75000,pending
ORD-00457,DIST-029,2025-12-24,75000,delivered
ORD-00458,DIST-029,2025-03-23,200000,delivered
ORD-00459,DIST-029,2026-05-23,100000,delivered
ORD-00460,DIST-029,2025-05-24,300000,delivered
ORD-00461,DIST-030,2025-03-22,200000,delivered
ORD-00462,DIST-030,2025-12-09,100000,delivered
ORD-00463,DIST-030,2025-05-20,300000,pending
ORD-00464,DIST-030,2024-10-28,75000,delivered
ORD-00465,DIST-030,2026-06-02,100000,delivered
ORD-00466,DIST-030,2026-04-03,100000,delivered
ORD-00467,DIST-030,2025-01-06,150000,delivered
ORD-00468,DIST-030,2025-03-05,200000,pending
ORD-00469,DIST-030,2025-03-06,150000,delivered
ORD-00470,DIST-030,2026-01-22,25000,delivered
ORD-00471,DIST-030,2026-04-17,50000,pending
ORD-00472,DIST-030,2026-03-16,25000,delivered
ORD-00473,DIST-031,2025-05-05,25000,delivered
ORD-00474,DIST-031,2026-04-29,25000,delivered
ORD-00475,DIST-031,2025-12-16,50000,pending
ORD-00476,DIST-031,2025-07-22,100000,delivered
ORD-00477,DIST-031,2025-10-02,300000,delivered
ORD-00478,DIST-031,2025-03-22,200000,delivered
ORD-00479,DIST-031,2024-07-31,25000,pending
ORD-00480,DIST-031,2026-03-30,150000,delivered
ORD-00481,DIST-031,2024-07-09,50000,pending
ORD-00482,DIST-031,2025-08-02,50000,cancelled
ORD-00483,DIST-031,2024-07-08,100000,pending
ORD-00484,DIST-031,2025-10-21,200000,delivered
ORD-00485,DIST-031,2025-03-24,25000,cancelled
ORD-00486,DIST-031,2025-04-02,25000,delivered
ORD-00487,DIST-031,2025-05-10,200000,delivered
ORD-00488,DIST-031,2025-12-09,50000,delivered
ORD-00489,DIST-031,2025-10-30,50000,delivered
ORD-00490,DIST-032,2025-05-05,100000,delivered
ORD-00491,DIST-032,2026-03-26,50000,delivered
ORD-00492,DIST-032,2024-06-15,300000,delivered
ORD-00493,DIST-032,2025-03-30,300000,delivered
ORD-00494,DIST-032,2024-12-15,300000,delivered
ORD-00495,DIST-032,2026-03-17,300000,cancelled
ORD-00496,DIST-032,2025-08-12,25000,delivered
ORD-00497,DIST-033,2026-04-17,50000,delivered
ORD-00498,DIST-033,2025-10-02,50000,delivered
ORD-00499,DIST-033,2024-06-07,50000,delivered
ORD-00500,DIST-033,2025-09-01,75000,delivered
ORD-00501,DIST-033,2025-04-06,150000,delivered
ORD-00502,DIST-033,2024-06-12,75000,delivered
ORD-00503,DIST-033,2026-05-11,200000,delivered
ORD-00504,DIST-033,2024-09-30,50000,delivered
ORD-00505,DIST-033,2025-07-21,200000,delivered
ORD-00506,DIST-033,2025-04-15,200000,delivered
ORD-00507,DIST-033,2025-03-30,50000,delivered
ORD-00508,DIST-033,2025-01-11,100000,pending
ORD-00509,DIST-033,2024-11-04,150000,delivered
ORD-00510,DIST-033,2025-06-18,150000,delivered
ORD-00511,DIST-033,2025-09-26,300000,delivered
ORD-00512,DIST-033,2026-04-12,300000,cancelled
ORD-00513,DIST-034,2026-04-28,300000,delivered
ORD-00514,DIST-034,2024-08-23,150000,delivered
ORD-00515,DIST-034,2026-05-22,150000,delivered
ORD-00516,DIST-034,2024-09-23,150000,delivered
ORD-00517,DIST-034,2025-10-31,150000,delivered
